code,ts_code,name,industry,select_date,close,score,score_base,news_proxy_boost,volume_ratio,turnover,main_net_inflow,drawdown_from_high,market_style,regime,factor_volume_ratio,factor_drawdown,factor_inflow,factor_turnover,factor_sector,factor_pattern,factor_counter_trend,factor_wyckoff,factor_accel,pre_threshold_rank,candidate_rank,variant,selected,failure_reason,buy_date,buy_price,exit_date_3d,return_3d,mae_3d,exit_date_5d,return_5d,mae_5d,exit_date_8d,return_8d,mae_8d
2104,002104.SZ,恒宝股份,通信设备,20230103,7.74,63.86967799299659,57.65283275822756,6.216845234769034,2.63,4.5525,4831.24,6.295399515738493,weak_momentum,BULL_TREND,69.75313997587888,100.0,48.3124,80.0,62.168452347690334,66.66666666666666,0.0,65.56685717572564,0.0,1,1,A_recovered_proxy_vr1.5,True,,20230104.0,7.73,20230106.0,0.1293661060802087,-0.6468305304010435,20230110.0,1.5523932729624823,-0.6468305304010435,20230113.0,7.89133247089262,-0.6468305304010435
2104,002104.SZ,恒宝股份,通信设备,20230103,7.74,57.65283275822756,57.65283275822756,0.0,2.63,4.5525,4831.24,6.295399515738493,weak_momentum,BULL_TREND,69.75313997587888,100.0,48.3124,80.0,62.168452347690334,66.66666666666666,0.0,65.56685717572564,0.0,1,1,B_pure_quant_vr1.5,True,,20230104.0,7.73,20230106.0,0.1293661060802087,-0.6468305304010435,20230110.0,1.5523932729624823,-0.6468305304010435,20230113.0,7.89133247089262,-0.6468305304010435
2104,002104.SZ,恒宝股份,通信设备,20230103,7.74,70.67597507234379,61.73661100583588,8.939364066507911,2.63,4.5525,4831.24,6.295399515738493,weak_momentum,BULL_TREND,69.75313997587888,100.0,48.3124,80.0,89.39364066507912,66.66666666666666,0.0,65.56685717572564,0.0,1,1,A_recovered_proxy_vr1.2,True,,20230104.0,7.73,20230106.0,0.1293661060802087,-0.6468305304010435,20230110.0,1.5523932729624823,-0.6468305304010435,20230113.0,7.89133247089262,-0.6468305304010435
2045,002045.SZ,国光电器,元器件,20230103,12.66,54.36063016572861,47.234829077052446,7.125801088676159,1.44,4.1687,4982.19,3.284950343773871,weak_momentum,BULL_TREND,26.303440583379377,100.0,49.8219,65.0,71.25801088676158,63.33333333333333,0.0,34.77335126576427,0.0,2,2,A_recovered_proxy_vr1.2,True,,20230104.0,12.56,20230106.0,2.8662420382165488,-0.0796178343949072,20230110.0,3.1050955414012598,-0.0796178343949072,20230113.0,7.404458598726116,-0.0796178343949072
2181,002181.SZ,粤传媒,出版业,20230103,5.72,53.15144249174227,53.15144249174227,0.0,1.47,7.5351,7487.44,13.725490196078432,weak_momentum,BULL_TREND,27.790807753081985,85.62091503267973,74.8744,100.0,56.96520946496285,33.33333333333333,0.0,66.79647625631543,0.0,3,3,A_recovered_proxy_vr1.2,True,,20230104.0,5.72,20230106.0,-2.7972027972028024,-3.4965034965035,20230110.0,-0.8741258741258751,-5.069930069930074,20230113.0,-8.56643356643355,-9.615384615384617
2104,002104.SZ,恒宝股份,通信设备,20230103,7.74,61.73661100583588,61.73661100583588,0.0,2.63,4.5525,4831.24,6.295399515738493,weak_momentum,BULL_TREND,69.75313997587888,100.0,48.3124,80.0,89.39364066507912,66.66666666666666,0.0,65.56685717572564,0.0,1,1,D_pure_quant_vr1.2,True,,20230104.0,7.73,20230106.0,0.1293661060802087,-0.6468305304010435,20230110.0,1.5523932729624823,-0.6468305304010435,20230113.0,7.89133247089262,-0.6468305304010435
2181,002181.SZ,粤传媒,出版业,20230103,5.72,53.15144249174227,53.15144249174227,0.0,1.47,7.5351,7487.44,13.725490196078432,weak_momentum,BULL_TREND,27.790807753081985,85.62091503267973,74.8744,100.0,56.96520946496285,33.33333333333333,0.0,66.79647625631543,0.0,2,2,D_pure_quant_vr1.2,True,,20230104.0,5.72,20230106.0,-2.7972027972028024,-3.4965034965035,20230110.0,-0.8741258741258751,-5.069930069930074,20230113.0,-8.56643356643355,-9.615384615384617
2334,002334.SZ,英威腾,电气设备,20230103,8.3,48.3299205231548,48.3299205231548,0.0,1.43,4.7499,5568.19,10.944206008583686,weak_momentum,BULL_TREND,25.800757350183236,100.0,55.6819,80.0,57.08890126562783,33.33333333333333,0.0,54.71375376077648,0.0,3,3,D_pure_quant_vr1.2,True,,20230104.0,8.41,20230106.0,5.826397146254458,-1.7835909631391256,20230110.0,6.777645659928666,-1.7835909631391256,20230113.0,8.680142687277058,-1.7835909631391256
2104,002104.SZ,恒宝股份,通信设备,20230103,7.74,48.32756490607401,48.32756490607401,0.0,2.63,4.5525,4831.24,6.295399515738493,weak_momentum,BULL_TREND,69.75313997587888,100.0,48.3124,80.0,89.39364066507912,66.66666666666666,0.0,65.56685717572564,0.0,1,1,E_ablate_sector_vr1.2,True,,20230104.0,7.73,20230106.0,0.1293661060802087,-0.6468305304010435,20230110.0,1.5523932729624823,-0.6468305304010435,20230113.0,7.89133247089262,-0.6468305304010435
2104,002104.SZ,恒宝股份,通信设备,20230103,7.74,53.04037900583588,53.04037900583588,0.0,2.63,4.5525,4831.24,6.295399515738493,weak_momentum,BULL_TREND,69.75313997587888,100.0,48.3124,80.0,89.39364066507912,66.66666666666666,0.0,65.56685717572564,0.0,1,1,E_ablate_inflow_vr1.2,True,,20230104.0,7.73,20230106.0,0.1293661060802087,-0.6468305304010435,20230110.0,1.5523932729624823,-0.6468305304010435,20230113.0,7.89133247089262,-0.6468305304010435
