variant,period,horizon_days,signal_count,trade_count,matured_trade_count,win_rate_pct,avg_return_pct,median_return_pct,profit_loss_ratio,worst_mae_pct,cumulative_cohort_return_pct,max_equal_weight_drawdown_pct
A_recovered_proxy_vr1.5,2025,3,479,465,461,47.071583514099785,-0.0807095341563603,-0.28024287716019725,1.056783144422818,-22.915717539863312,-11.842234291318455,-49.07758139617042
A_recovered_proxy_vr1.5,2025,5,479,465,457,47.04595185995623,0.38060263467246813,-0.2928257686676483,1.301688913843465,-30.615034168564915,75.61783018840774,-65.43165392770712
A_recovered_proxy_vr1.5,2025,8,479,465,452,46.017699115044245,0.5439821608509572,-0.37465725453591503,1.360955595256456,-32.38434163701067,113.73377582151059,-76.1946722034654
A_recovered_proxy_vr1.5,all,3,479,465,461,47.071583514099785,-0.0807095341563603,-0.28024287716019725,1.056783144422818,-22.915717539863312,-11.842234291318455,-49.07758139617042
A_recovered_proxy_vr1.5,all,5,479,465,457,47.04595185995623,0.38060263467246813,-0.2928257686676483,1.301688913843465,-30.615034168564915,75.61783018840774,-65.43165392770712
A_recovered_proxy_vr1.5,all,8,479,465,452,46.017699115044245,0.5439821608509572,-0.37465725453591503,1.360955595256456,-32.38434163701067,113.73377582151059,-76.1946722034654
B_pure_quant_vr1.5,2025,3,463,451,447,45.86129753914989,-0.13827391053088076,-0.4587155963302836,1.0694244696955761,-22.915717539863312,-24.47691314900241,-47.79734944050462
B_pure_quant_vr1.5,2025,5,463,451,444,45.4954954954955,-0.0921856346314531,-0.5998330765279947,1.1424650001830228,-30.615034168564915,-24.11522356958177,-70.18693127155903
B_pure_quant_vr1.5,2025,8,463,451,439,44.874715261959,0.05570757965107639,-0.5599104143336975,1.2249659893122913,-30.615034168564915,-24.44149518871388,-78.98890163708866
B_pure_quant_vr1.5,all,3,463,451,447,45.86129753914989,-0.13827391053088076,-0.4587155963302836,1.0694244696955761,-22.915717539863312,-24.47691314900241,-47.79734944050462
B_pure_quant_vr1.5,all,5,463,451,444,45.4954954954955,-0.0921856346314531,-0.5998330765279947,1.1424650001830228,-30.615034168564915,-24.11522356958177,-70.18693127155903
B_pure_quant_vr1.5,all,8,463,451,439,44.874715261959,0.05570757965107639,-0.5599104143336975,1.2249659893122913,-30.615034168564915,-24.44149518871388,-78.98890163708866
A_recovered_proxy_vr1.2,2025,3,478,468,465,45.376344086021504,-0.13110333062434706,-0.48000000000000265,1.096411743790464,-22.915717539863312,-29.729024741071186,-54.22876896778737
A_recovered_proxy_vr1.2,2025,5,478,468,461,45.98698481561822,0.19348792326016526,-0.5461165048543659,1.261259004384815,-30.615034168564915,15.590788732749195,-68.39636371100453
A_recovered_proxy_vr1.2,2025,8,478,468,455,45.05494505494506,0.2697013253063566,-0.47348484848485084,1.3020220956199327,-30.615034168564915,21.961750997142147,-77.98998742248898
A_recovered_proxy_vr1.2,all,3,478,468,465,45.376344086021504,-0.13110333062434706,-0.48000000000000265,1.096411743790464,-22.915717539863312,-29.729024741071186,-54.22876896778737
