variant,period,horizon_days,signal_count,trade_count,matured_trade_count,win_rate_pct,avg_return_pct,median_return_pct,profit_loss_ratio,worst_mae_pct,cumulative_cohort_return_pct,max_equal_weight_drawdown_pct
A_recovered_proxy_vr1.5,2026,3,79,76,72,48.61111111111111,0.489707998758871,-0.1879420909216667,1.2941544536103233,-16.51376146788991,14.81687743871527,-17.249590697353078
A_recovered_proxy_vr1.5,2026,5,79,76,66,51.515151515151516,1.0719403596988528,0.3641160239182595,1.2929225299908604,-18.532110091743114,21.48865988108428,-17.10998627146967
A_recovered_proxy_vr1.5,2026,8,79,76,61,45.90163934426229,2.305383424763911,-0.18518518518519933,1.9949376491285529,-26.73378076062639,49.16055113707471,-31.083418219514968
A_recovered_proxy_vr1.5,all,3,79,76,72,48.61111111111111,0.489707998758871,-0.1879420909216667,1.2941544536103233,-16.51376146788991,14.81687743871527,-17.249590697353078
A_recovered_proxy_vr1.5,all,5,79,76,66,51.515151515151516,1.0719403596988528,0.3641160239182595,1.2929225299908604,-18.532110091743114,21.48865988108428,-17.10998627146967
A_recovered_proxy_vr1.5,all,8,79,76,61,45.90163934426229,2.305383424763911,-0.18518518518519933,1.9949376491285529,-26.73378076062639,49.16055113707471,-31.083418219514968
B_pure_quant_vr1.5,2026,3,76,72,68,50.0,0.582849643925848,-0.014423960102788458,1.308948206138528,-15.212527964205814,8.085249301845355,-13.663260156907553
B_pure_quant_vr1.5,2026,5,76,72,62,53.2258064516129,1.2424530340113884,0.5711939948393252,1.3043643743428952,-17.059161401493395,18.672976763382643,-18.75199364624327
B_pure_quant_vr1.5,2026,8,76,72,58,46.55172413793103,1.6083458716754195,-0.14820994520661213,1.652563157094172,-26.73378076062639,6.099420427062419,-31.28610395284056
B_pure_quant_vr1.5,all,3,76,72,68,50.0,0.582849643925848,-0.014423960102788458,1.308948206138528,-15.212527964205814,8.085249301845355,-13.663260156907553
B_pure_quant_vr1.5,all,5,76,72,62,53.2258064516129,1.2424530340113884,0.5711939948393252,1.3043643743428952,-17.059161401493395,18.672976763382643,-18.75199364624327
B_pure_quant_vr1.5,all,8,76,72,58,46.55172413793103,1.6083458716754195,-0.14820994520661213,1.652563157094172,-26.73378076062639,6.099420427062419,-31.28610395284056
A_recovered_proxy_vr1.2,2026,3,92,86,82,41.46341463414634,0.24431345641738295,-0.8690152370132542,1.5641226463357218,-17.831813576494426,9.901008316330696,-18.98833475275098
